Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
2015,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,4000,16000
2016,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,40000,40000
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,1000,36000
2015,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,1000,520
2013,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,30,60
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5500,0
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,United States,Lithium-ion titanate battery,75,50.25
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,80,200
2014,Zinc-based battery,United States,Electro-chemical battery and chemical storage,Zinc-manganese oxide battery,United States,Zinc-manganese oxide battery,100,0
2013,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,60,120
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,512,512
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,0
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,25000
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,129,258
2015,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Canada,Unknown Technology Sub-Type ,150,0
2015,Flow battery,Kazakhstan,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Kazakhstan,Zinc-bromine flow battery,25000,100000
2016,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,0,0
2018,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,China,Vanadium redox flow battery,200000,800000
2013,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,1500,495
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,0
2015,Flow battery,Slovenia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Slovenia,Vanadium redox flow battery,10,45
2016,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Lithium polymer battery,Canada,Lithium polymer battery,750,502.5
2010,Lithium-ion battery,Spain,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Spain,Lithium-iron phosphate battery,106,106
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,2000,4400
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100,100
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,4200
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,6000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,19800
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,19800
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,3000
2006,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,1200,7200
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2014,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Italy,Unknown Technology Sub-Type ,2000,1000
2012,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Italy,Unknown Technology Sub-Type ,2000,1000
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,3000
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,3000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,500
2017,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,5000,3350
2010,Sodium-based battery,United Kingdom,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United Kingdom,Sodium-sulfur battery,1000,6000
2014,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,Japan,Lithium-ion titanate battery,2000,760
2014,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,Japan,Lithium-ion titanate battery,3000,1140
2013,Lead-acid battery,Australia,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Australia,Hybrid lead-acid battery/electro-chemical capacitor,3000,1590
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-nickel-cobalt-aluminum battery,United States,Lithium-nickel-cobalt-aluminum battery,500,1500
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6000,1800
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,3000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,3000
2012,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,1000,6800
2016,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-ion battery,United States,Sodium-ion battery,30,350.1
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,420
2014,Sodium-based battery,Italy,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,Italy,Sodium-nickel-chloride battery,35,105
2014,Sodium-based battery,Canada,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,Canada,Sodium-nickel-chloride battery,1000,2000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10,20
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6,10.38
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,100,100
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60,120
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60,120
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60,120
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60,120
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,60
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60,120
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,90,180
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,90,180
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60,120
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200,400
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60,60
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,3000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,260,2600
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,250,1000
2014,Hydrogen storage,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,800,0
2013,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,1279,997.62
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,36,72
2014,Lithium-ion battery,France,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,France,Unknown Technology Sub-Type ,4500,9000
2013,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,28000,112000
2013,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Italy,Unknown Technology Sub-Type ,32,32
2013,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Italy,Unknown Technology Sub-Type ,32,32
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,25,50
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,25,50
